Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
26772,0,0.10,0.00,9.969,0.206,0.077,0,0
26823,0,0.11,-0.19,10.051,0.163,-0.019,0,0
26875,0,0.11,0.00,10.080,0.148,0.019,0,0
26925,0,0.08,0.36,10.051,0.134,0.081,0,0
26975,0,0.09,0.26,10.056,0.139,0.110,0,0
27026,0,0.10,0.00,10.027,0.196,0.072,0,0
27076,0,0.10,-0.20,10.070,0.144,0.062,0,0
27126,0,0.11,0.34,10.027,0.139,0.091,0,0
27177,0,0.08,0.00,10.051,0.124,0.043,0,0
27229,0,0.10,0.34,10.070,0.139,0.024,0,0
27281,0,0.11,0.32,10.065,0.105,0.034,0,0
27332,0,0.10,-0.50,10.032,0.129,0.043,0,0
27384,0,0.11,0.34,10.032,0.144,0.048,0,0
27435,0,0.08,0.00,10.003,0.129,0.096,0,0
27486,0,0.11,0.84,10.046,0.168,0.081,0,0
27537,0,0.13,0.00,10.060,0.182,0.067,0,0
27589,0,0.12,-0.52,10.065,0.129,0.081,0,0
27640,0,0.10,0.00,10.056,0.110,0.072,0,0
27692,0,0.10,-0.47,10.065,0.148,0.134,0,0
27744,0,0.08,-0.52,10.041,0.153,0.105,0,0
27795,0,0.06,-1.01,10.051,0.158,0.091,0,0
27847,0,0.09,1.34,10.036,0.139,0.053,0,0
27899,0,0.08,0.00,10.041,0.187,0.086,0,0
27949,0,0.09,-0.54,10.046,0.134,0.115,0,0
27999,0,0.07,-0.52,10.013,0.115,0.110,0,0
28050,0,0.05,0.00,10.060,0.144,0.057,0,0
28100,0,0.03,-1.13,10.022,0.110,0.053,0,0
28152,0,0.04,0.36,10.008,0.134,0.120,0,0
28203,0,0.02,-0.28,10.060,0.134,0.134,0,0
28255,0,-0.01,-1.01,10.070,0.057,0.182,0,0
28307,0,0.03,0.00,10.123,0.105,0.029,0,0
28358,0,0.05,0.00,10.065,0.129,0.139,0,0
28409,0,0.10,0.94,10.008,0.072,0.144,0,0
28459,0,0.10,0.00,10.022,0.215,0.091,0,0
28511,0,0.13,0.00,10.036,0.120,0.053,0,0
28562,0,0.12,0.35,10.065,0.110,0.067,0,0
28614,0,0.09,-1.02,10.041,0.139,0.105,0,0
28665,0,0.07,-1.49,10.046,0.072,0.177,0,0
28717,0,0.07,-0.18,10.104,0.067,0.134,0,0
28768,0,0.04,0.00,10.060,0.139,0.029,0,0
28820,0,0.07,0.71,10.027,0.172,-0.038,0,0
28872,0,0.03,0.00,10.027,0.153,-0.014,0,0
28923,0,0.02,-1.04,9.974,0.163,0.024,0,0
28975,0,0.04,0.84,10.022,0.172,0.053,0,0
29026,0,0.05,0.00,10.075,0.139,0.048,0,0
29079,0,0.03,0.32,10.108,0.172,0.024,0,0
29129,0,0.01,0.00,10.065,0.177,0.120,0,0
29179,0,0.00,-0.54,10.032,0.163,0.105,0,0
29230,0,-0.00,-0.22,10.046,0.196,0.000,0,0
29280,0,0.01,0.00,10.056,0.168,-0.019,0,0
29332,0,-0.00,-1.02,10.041,0.172,0.005,0,0
29382,0,-0.00,0.00,10.041,0.153,0.057,0,0
29433,0,-0.01,-1.01,10.084,0.153,0.024,0,0
29485,0,-0.03,-1.04,10.032,0.196,-0.043,0,0
29537,0,-0.03,0.00,9.998,0.201,0.000,0,0
29588,0,-0.00,0.86,9.984,0.211,-0.019,0,0
29640,0,-0.02,0.00,10.032,0.148,0.019,0,0
29691,0,-0.02,-1.01,10.036,0.148,0.034,0,0
29743,0,0.00,0.00,10.056,0.158,0.024,0,0
29795,0,-0.02,0.34,10.036,0.158,0.053,0,0
29846,0,0.01,0.82,10.070,0.124,0.057,0,0
29898,0,-0.05,-0.97,10.041,0.182,0.048,0,0
29948,0,-0.04,0.36,10.084,0.096,0.081,0,0
29999,0,-0.02,1.33,10.036,0.110,0.057,0,0
30049,0,-0.09,-1.61,10.070,0.110,0.048,0,0
30099,0,-0.03,0.93,10.041,0.105,0.077,0,0
30151,0,-0.04,0.00,10.032,0.101,0.129,0,0
30203,0,-0.03,0.34,10.070,0.086,0.101,0,0
30255,0,-0.05,-1.01,10.070,0.105,0.081,0,0
30306,0,-0.03,0.00,10.013,0.101,0.110,0,0
30358,0,-0.05,0.34,10.046,0.105,0.081,0,0
30408,0,-0.08,-1.04,10.017,0.101,0.067,0,0
30458,0,-0.07,0.12,10.051,0.072,0.105,0,0
30508,0,-0.09,-1.04,10.084,0.077,0.096,0,0
30559,0,-0.09,-0.52,10.046,0.072,0.148,0,0
30611,0,-0.10,-0.52,10.056,0.101,0.163,0,0
30660,0,-0.06,0.00,10.080,0.077,0.101,0,0
30712,0,-0.04,0.82,10.036,0.081,0.124,0,0
30763,0,-0.07,0.00,10.017,0.101,0.139,0,0
30815,0,-0.07,-1.01,10.041,0.081,0.120,0,0
30866,0,-0.10,-1.01,10.032,0.115,0.101,0,0
30919,0,-0.11,0.00,10.070,0.120,0.091,0,0
30969,0,-0.16,-1.13,10.056,0.096,0.124,0,0
31020,0,-0.15,0.39,10.013,0.062,0.153,0,0
31070,0,-0.17,0.00,10.027,0.096,0.110,0,0
31120,0,-0.13,1.49,10.036,0.091,0.124,0,0
31172,0,-0.13,0.00,10.022,0.105,0.124,0,0
31223,0,-0.09,1.34,10.056,0.129,0.120,0,0
31275,0,-0.06,1.34,10.046,0.091,0.091,0,0
31326,0,-0.07,0.00,10.065,0.086,0.077,0,0
31378,0,-0.08,0.24,10.065,0.067,0.124,0,0
31430,0,-0.11,0.00,10.070,0.115,0.105,0,0
31480,0,-0.12,-0.52,9.989,0.105,0.139,0,0
31532,0,-0.10,0.00,10.036,0.124,0.124,0,0
31583,0,-0.11,0.34,10.060,0.072,0.081,0,0
31635,0,-0.14,-1.01,10.099,0.072,0.005,0,0
31686,0,-0.16,-1.01,10.017,0.101,0.062,0,0
31738,0,-0.17,-0.20,10.017,0.115,0.148,0,0
31789,0,-0.21,0.00,10.036,0.134,0.115,0,0
31841,0,-0.23,-1.01,10.051,0.148,0.048,0,0
31893,0,-0.24,0.00,10.075,0.101,0.053,0,0
31943,0,-0.26,0.88,9.984,0.163,0.034,0,0
31993,0,-0.30,-1.55,10.032,0.115,0.010,0,0
32044,0,-0.29,0.00,10.070,0.134,0.043,0,0
32094,0,-0.29,-0.20,10.022,0.139,0.029,0,0
32146,0,-0.32,-1.01,10.032,0.129,0.077,0,0
32198,0,-0.31,0.00,10.046,0.101,0.072,0,0
32249,0,-0.31,-0.19,10.036,0.091,0.077,0,0
32301,0,-0.31,0.00,10.075,0.134,-0.057,0,0
32353,0,-0.28,0.86,10.041,0.144,-0.091,0,0
32403,0,-0.28,0.00,9.998,0.177,-0.005,0,0
32454,0,-0.28,0.86,10.027,0.124,0.024,0,0
32507,0,-0.25,0.52,10.056,0.129,0.000,0,0
32558,0,-0.24,0.36,10.046,0.091,-0.010,0,0
